This file was created by CMPT_ME_PRIOR_RETS using the 201803 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from - 1 to - 1.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192808,    -7.92,    -0.22,     8.00,    -4.57,     0.11,     6.60
192809,    -4.12,     4.79,    17.67,    -0.41,     5.04,    15.03
192810,    -5.25,     3.07,    18.35,    -2.49,     2.82,    14.71
192811,    -7.94,     0.32,    14.49,    -6.20,     0.30,    11.71
192812,    -0.87,     8.86,    26.94,     0.57,     8.86,    26.76
192901,   -10.19,    -1.03,    10.42,    -8.42,    -1.24,     8.80
192902,    -7.22,     1.54,    16.12,    -7.29,     2.58,    15.75
192903,    -8.47,    -1.15,    11.71,    -5.91,    -1.11,     9.10
192904,   -13.22,    -4.62,     7.93,   -10.99,    -3.63,     7.26
192905,    -8.74,     0.59,    13.96,    -7.10,     0.60,     8.96
192906,   -21.15,    -8.56,     2.16,   -18.46,    -8.43,     3.15
192907,    -3.62,     6.02,    21.02,    -1.08,     6.54,    19.77
192908,    -8.46,     1.29,    13.98,    -5.84,     1.20,    12.88
192909,    -7.77,     1.34,    18.34,    -5.79,     2.22,    15.27
192910,   -15.50,    -4.76,     9.62,   -12.19,    -5.27,     8.65
192911,   -38.39,   -20.03,    -6.00,   -34.90,   -20.75,    -5.92
192912,   -27.46,   -13.24,     1.68,   -23.30,   -12.42,    -0.41
193001,   -16.67,    -1.97,    14.31,   -12.63,    -1.22,     9.45
193002,    -4.76,     7.36,    31.47,    -1.76,     7.15,    19.97
193003,    -8.05,     1.13,    19.28,    -6.76,     1.71,    11.79
193004,    -5.17,     6.62,    30.53,    -3.91,     7.40,    22.18
193005,   -17.75,    -4.79,    13.61,   -17.26,    -4.61,     8.33
193006,   -13.18,    -3.48,     7.40,   -11.40,    -2.93,     3.86
193007,   -33.22,   -18.80,    -5.18,   -29.83,   -18.46,    -7.88
